"Orgnr","time","komnr","Adresse","lon","lat","Navn","kommune","fylke","folkemengde","innflytting","utflytting","netto_flytting","totsyss","pros_prim","pros_und","utdanning_kort","utdanning_lang","utdanning_komb","arbeidsledige","sykemld","nettoutgiftgrsk","nettoutgiftgrskinnby","nettoutgiftgrsktot","frieinnt","areal","antallelevertot","grpoeng","eleverN","grpoeng_g","eleverN_g","grpoeng_j","eleverN_j","nasjpr_engelsk","usikkerhet_engelsk","eleverN_engelsk","fritatt_engelsk","ikke.deltatt_engelsk","nasjpr_lesing","usikkerhet_lesing","eleverN_lesing","fritatt_lesing","ikke.deltatt_lesing","nasjpr_regning","usikkerhet_regning","eleverN_regning","fritatt_regning","ikke.deltatt_regning","grpst1","grpst2","grpstgammel","oppfyller","oppfyllerikke","spesialunder","andel_menn","andel_kvinner"
813822172,2014,1243,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691,"Nore Neset ungdomsskule","Os i Hordaland (Utgått)","Hordaland",18678,946,784,162,5778,2.64797507788162,10.3669089650398,22.3,6,28.3,239,5.7,NA,NA,NA,867755,139.654298888921,NA,40.7,103,38.2,57,43.8,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.4,20.5,25.54,2542,0,0,24.24,75.76
813822172,2015,1243,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691,"Nore Neset ungdomsskule","Os i Hordaland (Utgått)","Hordaland",19097,1052,683,369,5750,2.55652173913043,10.695652173913,22.6,6.4,29,296,5.9,24.6,11015,217466,932605,139.654298888921,2744,40.9,100,39.1,58,43.4,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.8,23.6,26,2395,0,0,25,75
813822172,2016,1243,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691,"Nore Neset ungdomsskule","Os i Hordaland (Utgått)","Hordaland",19742,984,732,252,5807,2.49698639572929,10.7973135870501,23.1,6.6,29.7,383,5.2,27,11294,227593,886133,139.654298888921,2794,42.2,124,40.5,62,44,62,47,2.1,108,0,3.6,46,1.9,108,NA,NA,48,1.8,112,0,0,19.54,24.1,26,2454,28,0,25,75
813822172,2017,1243,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691,"Nore Neset ungdomsskule","Os i Hordaland (Utgått)","Hordaland",20152,1007,813,194,6076,2.66622778143515,10.4344963791968,23.4,6.7,30.1,276,5.5,33,11210,230623,809329,139.654298888921,2898,41.6,111,37.9,53,44.9,58,51,1.7,118,NA,NA,50,1.8,119,NA,NA,51,1.6,117,NA,NA,17.07,22.9,27.36,2954,35,0,18.6,81.4
813822172,2018,1243,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691,"Nore Neset ungdomsskule","Os i Hordaland (Utgått)","Hordaland",20573,949,838,111,6334,2.4471108304389,10.593621724029,23.7,7.1,30.8,289,5.4,31.9,11877,247093,852888,139.654298888921,2974,41.1,123,37.8,61,44.5,62,49,1.6,139,0,4.1,49,1.6,139,0,4.1,49,1.6,138,0,4.8,16.38,22,27.87,3366,35,0,27.91,72.09
813943492,2016,104,"Moss verk 1 1534 MOSS",10.6679831,59.4391155,"Childrens International School Moss AS","Moss (Utgått)","Østfold",32182,1940,1929,11,13576,0.640836770771951,8.4634649381261,21.6,8,29.6,557,4.8,17.4,8731,282945,1567487,63.5482332555548,3494,52,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.89,15.3,19.14,796,243,51,7.69,92.31
813943492,2017,104,"Moss verk 1 1534 MOSS",10.6679831,59.4391155,"Childrens International School Moss AS","Moss (Utgått)","Østfold",32407,2093,1981,112,13901,0.597079346809582,8.38069203654413,21.8,8.3,30.1,538,5.1,16.9,8920,290679,1657683,63.5482332555548,3526,51.8,38,NA,NA,NA,NA,56,5.4,20,0,4.8,54,6.3,19,0,9.5,53,6.2,19,NA,NA,16.31,16.7,19.14,837,64,31,25,75
816578892,2019,1102,"Jønningsheiveien 42 4316 SANDNES",NA,NA,"Wang Ung Sandnes AS","Sandnes (Utgått)","Rogaland",77246,3432,3167,265,36696,11.5353172007848,7.60300850228908,23.7,10.7,34.4,1086,4.4,21.1,11898,934624,4241975,304.181850887408,10168,49,30,46.8,18,52.2,12,50,3.2,42,0,0,51,3.2,42,0,0,54,3,42,0,0,23.96,26.9,23.83,721,187,0,45.83,54.17
816578892,2020,1108,"Jønningsheiveien 42 4316 SANDNES",NA,NA,"Wang Ung Sandnes AS","Sandnes","Rogaland",79537,3515,3324,191,39170,14.3579269849375,7.05897370436559,23.8,11,34.8,1744,4.4,20.8,11980,963798,4509372,1040.56,10470,45.4,49,43.9,30,47.7,19,49,2.2,61,0,0,52,2.2,61,0,0,51,2.3,59,NA,NA,19.37,20.6,24.43,1074,269,0,62.07,37.93
816691842,2020,3024,"Skytterdalen 6 1337 SANDVIKA",NA,NA,"Norges Realfagsgymnas ungdomsskole Bærum AS","Bærum","Viken",127731,7034,7008,26,73593,5.55487614311144,5.40540540540541,31.8,22.2,54,2532,3.8,16.7,10807,1385784,8519561,192.29,16091,50.1,76,NA,NA,NA,NA,61,1.8,51,NA,NA,61,2,51,NA,NA,64,2.1,51,NA,NA,26.21,27.9,27.14,1176,0,0,46.15,53.85
