"","Org.nr","kommune","komnr","time","grpoeng","eleverN","j_eleverN","j_grpoeng","g_eleverN","g_grpoeng","enhetsnivå","nasjonalkode","fylkeskode","nasjonalt","fylke","Navn","grpst2","klasseN","antmenn","antkvinner","sumoppfyller","sumikkeoppfyller","mennandel","oppfyllerandel","primær_andel","andel_syss","pop","innflytting","engelsk","lesing","regning","utd","utflytting","videregående","Adresse","lon","lat"
"1",813822172,"OS",1243,2017,41.6,111,58,44.9,53,37.9,4,"I",12,"Hele landet","Hordaland","Nore Neset ungdomsskule",22.9,27.36,8,35,2954,35,0.186046511627907,0.988290398126464,6.96982575435614,67.5,20152,1149,49,49,49,NA,911,1,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691
"2",813822172,"OS",1243,2014,40.7,103,46,43.8,57,38.2,4,"I",12,"Hele landet","Hordaland","Nore Neset ungdomsskule",20.5,25.54,8,25,2542,0,0.242424242424242,1,7.98479087452472,71.6,18678,1129,NA,NA,NA,22.3,842,1,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691
"3",813822172,"OS",1243,2015,40.9,100,42,43.4,58,39.1,4,"I",12,"Hele landet","Hordaland","Nore Neset ungdomsskule",23.6,26,9,27,2395,0,0.25,1,7.7007099945385,68.8,19097,1241,47,46,48,22.6,785,1,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691
"4",813822172,"OS",1243,2016,42.2,124,62,44,62,40.5,4,"I",12,"Hele landet","Hordaland","Nore Neset ungdomsskule",24.1,26,10,30,2454,28,0.25,0.988718775181305,6.9421846187222,67,19742,1148,51,50,51,23.1,883,1,"Skeismyra 10 5217 HAGAVIK",5.4141828,60.1783691
"5",813993422,"OSLO",301,2015,10.8,13,6,11,7,10.7,4,"I",3,"Hele landet","Oslo","Oslo kommune Språksenteret",114.8,15.4,0,13,475,133,0,0.78125,0.761427960890688,67.6,647676,46660,NA,NA,NA,29.7,41733,1,"Trondheimsveien 48 0560 OSLO",10.7701956,59.9219822
"6",873844302,"VENNESLA",1014,2013,37.9,157,77,40,80,35.8,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",18.5,27.28,24,43,4770,0,0.358208955223881,1,2.27136879856545,66.8,13756,752,NA,NA,NA,15,612,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"7",873844302,"VENNESLA",1014,2015,38.7,150,74,39.8,76,37.6,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",18.9,27.12,16,41,3919,117,0.280701754385965,0.971010901883053,1.95165891007356,64.2,14095,755,51,50,51,16.1,620,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"8",873844302,"VENNESLA",1014,2017,40.5,126,67,41.2,59,39.7,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",19.1,26,22,39,3841,65,0.360655737704918,0.983358934971838,1.64884135472371,63.8,14425,733,47,49,48,NA,699,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"9",873844302,"VENNESLA",1014,2008,37.8,150,76,40.5,74,34.9,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",21.2,26,22,35,3863,99,0.385964912280702,0.975012619888945,2.46523388116308,69.9,12776,568,NA,NA,NA,13.2,517,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"10",873844302,"VENNESLA",1014,2010,37.6,151,75,38.8,76,36.4,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",20.4,25.83,21,40,4208,30,0.344262295081967,0.992921189240208,2.41734248284467,67.8,13116,717,NA,NA,NA,13.7,573,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"11",873844302,"VENNESLA",1014,2007,37.7,143,59,40,84,36,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",22.1,25.78,24,35,3911,28,0.406779661016949,0.992891596851993,NA,NA,12555,648,NA,NA,NA,12.8,504,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"12",873844302,"VENNESLA",1014,2011,37.9,152,70,40.8,82,35.3,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",21.1,26.44,20,40,4121,0,0.333333333333333,1,2.06624126405348,67.9,13334,782,NA,NA,NA,14.1,603,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"13",873844302,"VENNESLA",1014,2016,40.9,142,64,42.1,78,39.8,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",18.9,27.4,23,42,3858,111,0.353846153846154,0.972033257747543,1.68067226890756,63.6,14308,712,48,47,49,16.3,669,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"14",873844302,"VENNESLA",1014,2014,38.8,155,80,41.1,75,36.3,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",17.8,27.18,22,46,4431,35,0.323529411764706,0.992163009404389,2.17294900221729,66.6,13986,698,NA,NA,NA,15.5,665,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"15",873844302,"VENNESLA",1014,2009,37.5,146,73,38.2,73,36.7,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",20,26.39,22,39,4249,8,0.360655737704918,0.998120742306789,2.47920665387076,67.7,12886,637,NA,NA,NA,13.3,508,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"16",873844302,"VENNESLA",1014,2012,35.5,148,69,38.9,79,32.6,4,"I",10,"Hele landet","Vest-Agder","Vennesla ungdomsskole",21.7,26.89,21,39,4260,0,0.35,1,2.4364406779661,67.3,13583,679,NA,NA,NA,14.4,607,1,"Skolevegen 9 4700 VENNESLA",7.9775018,58.2758265
"17",873994592,"MOLDE",1502,2008,38.3,115,52,41.3,63,35.8,4,"I",15,"Hele landet","Møre og Romsdal","Bergmo ungdomsskole",22.9,28.42,11,20,2251,75,0.354838709677419,0.967755803955288,2.43827633798497,74.3,24294,1184,NA,NA,NA,24.1,989,1,"Bergmovegen 19 6419 MOLDE",7.2223988,62.743971
"18",873994592,"MOLDE",1502,2016,41.3,97,48,43.2,49,39.4,4,"I",15,"Hele landet","Møre og Romsdal","Bergmo ungdomsskole",18.6,25.36,10,18,2355,0,0.357142857142857,1,3.20826952526799,66.8,26732,1357,51,50,48,26.8,1359,1,"Bergmovegen 19 6419 MOLDE",7.2223988,62.743971
"19",873994592,"MOLDE",1502,2011,40.5,114,58,43.4,56,37.5,4,"I",15,"Hele landet","Møre og Romsdal","Bergmo ungdomsskole",22.8,27.91,11,16,2155,0,0.407407407407407,1,3.010639100581,71.6,25089,1447,NA,NA,NA,25.3,1137,1,"Bergmovegen 19 6419 MOLDE",7.2223988,62.743971
"20",873994592,"MOLDE",1502,2014,41.5,95,49,43.3,46,39.5,4,"I",15,"Hele landet","Møre og Romsdal","Bergmo ungdomsskole",22,26.17,14,15,1996,202,0.482758620689655,0.908098271155596,3.73222748815166,70.6,26048,1462,NA,NA,NA,25.9,1205,1,"Bergmovegen 19 6419 MOLDE",7.2223988,62.743971
"21",873994592,"MOLDE",1502,2015,42.8,116,48,46.6,68,40.2,4,"I",15,"Hele landet","Møre og Romsdal","Bergmo ungdomsskole",21.3,25.75,10,18,2152,59,0.357142857142857,0.973315241971958,3.59809911744739,68.3,26392,1447,49,47,48,26.4,1202,1,"Bergmovegen 19 6419 MOLDE",7.2223988,62.743971
"22",873994592,"MOLDE",1502,2013,41,83,42,44.3,41,37.7,4,"I",15,"Hele landet","Møre og Romsdal","Bergmo ungdomsskole",26.4,26.91,11,17,1809,0,0.392857142857143,1,3.33183250787933,70.2,25936,1315,NA,NA,NA,25.9,1269,1,"Bergmovegen 19 6419 MOLDE",7.2223988,62.743971
